Release 7.1.01i - par H.39
Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

Mon Apr 18 21:11:03 2005


INPUT FILE:       sixteenbit_adder_map.ncd
OUTPUT FILE:      sixteenbit_adder_pad.txt
PART TYPE:        xc2v80
SPEED GRADE:      -5
PACKAGE:          cs144

Pinout by Pin Number:

+----------+-----------+---------+----------------------+---------+-----------+--------------+----------+---------+-----------+---------+-------+----------+---------+-----------+----------------+
|Pin Number|Signal Name|Pin Usage|Pin Name              |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage|Constraint|DCI Value|IO Register|Signal Integrity|
|J2        |           |DIFFM    |IO_L94P_6             |UNUSED   |           |6             |          |         |           |         |       |          |         |           |                |
|J3        |           |         |VCCO_6                |         |           |6             |          |         |           |         |3.30   |          |         |           |                |
|J4        |           |         |GND                   |         |           |              |          |         |           |         |       |          |         |           |                |
|J10       |B<12>      |IOB      |IO_L03N_3/VREF_3      |INPUT    |LVTTL      |3             |          |         |           |NONE     |       |          |         |NO         |NONE            |
|J11       |           |         |GND                   |         |           |              |          |         |           |         |       |          |         |           |                |
|J12       |           |         |VCCO_3                |         |           |3             |          |         |           |         |3.30   |          |         |           |                |
|J13       |S<12>      |IOB      |IO_L94P_3             |OUTPUT   |LVTTL      |3             |12        |SLOW     |NONE**     |         |       |          |         |NO         |NONE            |
|K1        |B<13>      |IOB      |IO_L03N_6/VREF_6      |INPUT    |LVTTL      |6             |          |         |           |NONE     |       |          |         |NO         |NONE            |
|K2        |A<12>      |IOB      |IO_L03P_6             |INPUT    |LVTTL      |6             |          |         |           |NONE     |       |          |         |NO         |NONE            |
|K3        |           |DIFFS    |IO_L02N_6/VRP_6       |UNUSED   |           |6             |          |         |           |         |       |          |         |           |                |
|K4        |           |DIFFM    |IO_L01P_5/CS_B        |UNUSED   |           |5             |          |         |           |         |       |          |         |           |                |
|K5        |S<14>      |IOB      |IO_L03P_5/D5/ALT_VRN_5|OUTPUT   |LVTTL      |5             |12        |SLOW     |NONE**     |         |       |          |         |NO         |NONE            |
|K6        |S<15>      |IOB      |IO_L94P_5/VREF_5      |OUTPUT   |LVTTL      |5             |12        |SLOW     |NONE**     |         |       |          |         |NO         |NONE            |
|K7        |           |DIFFM    |IO_L96P_4/GCLK0P      |UNUSED   |           |4             |          |         |           |         |       |          |         |           |                |
|K8        |           |DIFFM    |IO_L94P_4             |UNUSED   |           |4             |          |         |           |         |       |          |         |           |                |
|K9        |           |DIFFM    |IO_L03P_4/D3/ALT_VRN_4|UNUSED   |           |4             |          |         |           |         |       |          |         |           |                |
|K10       |           |DIFFS    |IO_L01N_3             |UNUSED   |           |3             |          |         |           |         |       |          |         |           |                |
|K11       |           |DIFFM    |IO_L02P_3/VRN_3       |UNUSED   |           |3             |          |         |           |         |       |          |         |           |                |
|K12       |           |DIFFS    |IO_L02N_3/VRP_3       |UNUSED   |           |3             |          |         |           |         |       |          |         |           |                |
|K13       |S<13>      |IOB      |IO_L03P_3             |OUTPUT   |LVTTL      |3             |12        |SLOW     |NONE**     |         |       |          |         |NO         |NONE            |
|L1        |           |DIFFM    |IO_L02P_6/VRN_6       |UNUSED   |           |6             |          |         |           |         |       |          |         |           |                |
|L2        |           |DIFFS    |IO_L01N_6             |UNUSED   |           |6             |          |         |           |         |       |          |         |           |                |
|L3        |           |DIFFM    |IO_L01P_6             |UNUSED   |           |6             |          |         |           |         |       |          |         |           |                |
|L4        |           |DIFFS    |IO_L01N_5/RDWR_B      |UNUSED   |           |5             |          |         |           |         |       |          |         |           |                |
|L5        |           |DIFFS    |IO_L03N_5/D4/ALT_VRP_5|UNUSED   |           |5             |          |         |           |         |       |          |         |           |                |
|L6        |           |DIFFS    |IO_L94N_5             |UNUSED   |           |5             |          |         |           |         |       |          |         |           |                |
|L7        |           |         |VCCINT                |         |           |              |          |         |           |         |1.5    |          |         |           |                |
|L8        |A<13>      |IOB      |IO_L95N_4/GCLK3S      |INPUT    |LVTTL      |4             |          |         |           |NONE     |       |          |         |NO         |NONE            |
|L9        |           |         |GND                   |         |           |              |          |         |           |         |       |          |         |           |                |
|L10       |           |DIFFS    |IO_L02N_4/D0          |UNUSED   |           |4             |          |         |           |         |       |          |         |           |                |
|L11       |           |         |VCCO_4                |         |           |4             |          |         |           |         |3.30   |          |         |           |                |
|L12       |           |         |VCCO_3                |         |           |3             |          |         |           |         |3.30   |          |         |           |                |
|L13       |           |DIFFM    |IO_L01P_3             |UNUSED   |           |3             |          |         |           |         |       |          |         |           |                |
|M1        |           |         |VCCO_6                |         |           |6             |          |         |           |         |3.30   |          |         |           |                |
|M2        |           |         |M1                    |         |           |              |          |         |           |         |       |          |         |           |                |
|M3        |           |         |M2                    |         |           |              |          |         |           |         |       |          |         |           |                |
|M4        |           |DIFFM    |IO_L02P_5/D7          |UNUSED   |           |5             |          |         |           |         |       |          |         |           |                |
|M5        |           |         |GND                   |         |           |              |          |         |           |         |       |          |         |           |                |
|M6        |B<14>      |IOB      |IO_L95P_5/GCLK4P      |INPUT    |LVTTL      |5             |          |         |           |NONE     |       |          |         |NO         |NONE            |
|M7        |B<15>      |IOB      |IO_L96P_5/GCLK6P      |INPUT    |LVTTL      |5             |          |         |           |NONE     |       |          |         |NO         |NONE            |
|M8        |A<14>      |IOB      |IO_L95P_4/GCLK2P      |INPUT    |LVTTL      |4             |          |         |           |NONE     |       |          |         |NO         |NONE            |
|M9        |           |         |VCCO_4                |         |           |4             |          |         |           |         |3.30   |          |         |           |                |
|M10       |           |DIFFM    |IO_L02P_4/D1          |UNUSED   |           |4             |          |         |           |         |       |          |         |           |                |
|M11       |           |DIFFS    |IO_L01N_4/DOUT        |UNUSED   |           |4             |          |         |           |         |       |          |         |           |                |
|M12       |           |         |PWRDWN_B              |         |           |              |          |         |           |         |       |          |         |           |                |
|M13       |           |         |CCLK                  |         |           |              |          |         |           |         |       |          |         |           |                |
|N1        |           |         |VCCAUX                |         |           |              |          |         |           |         |3.3    |          |         |           |                |
|N2        |           |         |M0                    |         |           |              |          |         |           |         |       |          |         |           |                |
|N3        |           |         |VCCO_5                |         |           |5             |          |         |           |         |3.30   |          |         |           |                |
|N4        |           |DIFFS    |IO_L02N_5/D6          |UNUSED   |           |5             |          |         |           |         |       |          |         |           |                |
|N5        |           |         |VCCO_5                |         |           |5             |          |         |           |         |3.30   |          |         |           |                |
|N6        |A<15>      |IOB      |IO_L95N_5/GCLK5S      |INPUT    |LVTTL      |5             |          |         |           |NONE     |       |          |         |NO         |NONE            |
|N7        |Co         |IOB      |IO_L96N_5/GCLK7S      |OUTPUT   |LVTTL      |5             |12        |SLOW     |NONE**     |         |       |          |         |NO         |NONE            |
|N8        |           |DIFFS    |IO_L96N_4/GCLK1S      |UNUSED   |           |4             |          |         |           |         |       |          |         |           |                |
|N9        |           |DIFFS    |IO_L94N_4/VREF_4      |UNUSED   |           |4             |          |         |           |         |       |          |         |           |                |
|N10       |           |DIFFS    |IO_L03N_4/D2/ALT_VRP_4|UNUSED   |           |4             |          |         |           |         |       |          |         |           |                |
|N11       |           |DIFFM    |IO_L01P_4/INIT_B      |UNUSED   |           |4             |          |         |           |         |       |          |         |           |                |
|N12       |           |         |DONE                  |         |           |              |          |         |           |         |       |          |         |           |                |
|N13       |           |         |VCCAUX                |         |           |              |          |         |           |         |3.3    |          |         |           |                |
+----------+-----------+---------+----------------------+---------+-----------+--------------+----------+---------+-----------+---------+-------+----------+---------+-----------+----------------+

* Default value.
** This default Pullup/Pulldown value can be overridden in Bitgen. 
****** This value can be any of the allowed voltages 
       (1.2v,1.5v,1.8v,2.5v,3.3v) or VCCAUX 


